words,sentiment_coeff
arkansas,-201.4216516198621
ar,-183.10140690679285
college,-122.38907893791199
and,-141.8399132496199
the,-130.464829063703
community_college,-129.16948168582587
of,-122.3974705317062
university,-136.25181821721284
to,-91.81054913215536
a,-105.01323308023476
s,-119.12427002359361
prosciutto,-66.12103052316895
for,-88.46688882855537
in,-86.9165454734319
state_university,-124.4402051880154
dog_trainer,-47.019128468479416
1,-103.8665067553688
2,-74.63346004761033
conference,-104.69424385621724
hospital_heliport,-82.4952424649556
school_of,-94.91484831757336
penske,-71.6864279449555
that,-78.28565166325794
spandau_ballet,-50.39955154809599
is,-66.03950096039746
about_smart,-65.36834153319663
with,-77.34633325967002
athletic_conference,-104.38263388441119
on,-72.50468969904828
manual,-110.32859277348068
i,-72.06414867158891
copyright_2020,-57.233378095519136
how_to,-94.39499533573826
institute_of,-109.46818937020858
glonass,-57.91902273469139
valley,-112.71805750907467
at,-79.83948443280522
ranch_airport,-76.28534815586505
you,-73.28998810149018
college_north,-77.90590465826439
media_corporation,-24.267334185081847
2020_penske,-21.44011208679438
state,-119.95398725135932
it,-82.1108720133546
south,-82.3973488483128
!,-67.19993408626802
medical_center,-84.13403413379875
new_york,-109.83750048662971
in_the,-95.45121951979304
technical_college,-109.93240165676863
private_airport,-83.68141539049606
by,-74.08986807667394
media_llc,-37.97040357575705
available_smart,-72.21889588403104
southern,-83.4647968684068
penske_business,-32.38503672940016
bad,-114.28148777622741
4,-75.57662766948297
theological_seminary,-102.61807758876276
city,-102.23299757366061
chipist,-25.875391593536598
college_southwestern,-84.01732741008308
national_american,-88.02025251116049
trainer,-56.6144337928251
community,-115.33930958897818
pronounce,-71.63848688500025
america_west,-56.20483203435605
service,-124.3882022820346
or,-79.48011953580257
of_nursing,-92.45460860993715
your,-81.21399000611798
remington_college,-60.58638856995124
of_art,-91.4091373053015
mountain,-73.48872646724124
little_rock,-108.42966729924781
5,-85.20160789812022
university_saint,-76.62545098284325
center_heliport,-89.06009738600648
this,-85.50297420352014
my,-62.48628509627016
file,-63.40400093949177
professional_dog,-39.7765092822932
from,-57.709626374763694
new_england,-96.2402562958476
lenr,-47.23189441385997
llc_a,-38.13189567209117
subsidiary_of,-41.32240388482595
campus_remington,-72.19418891266456
home,-79.03012892748747
seaplane_base,-99.03152744997529
description_about,-67.57688216910203
st,-66.57757842922004
all,-56.16115500352741
gps,-53.1325541059298
and_technical,-83.66496416400084
gps_glonass,-47.72886717852334
3,-89.10008531108642
shreem_brzee,-66.83132401241278
dr_pillai,-69.14932928898565
table_tops,-64.48458007040038
central,-95.67598479833707
christian_college,-77.47679736057545
of_health,-90.46522171795249
racing,-92.30939167002653
college_south,-91.5644238537945
llc,-40.97497102431089
not,-86.32978400246827
so,-87.98346849289882
/,-60.857124583194334
up,-103.41497823345179
prosciutto_wrapped,-55.0883625096191
like,-66.85651425866364
of_penske,-50.29724017482494
out,-69.99910850701696
t,-70.201444632994
are,-61.36778072009624
products,-89.55849761149118
i_am,-43.857325876116505
an,-63.17217468137214
but,-57.232568443269564
new,-72.1700536341644
yamaha,-94.91250692996067
wood_slab,-66.9916770484988
college_northwest,-99.65701557248971
a_subsidiary,-44.815665937974636
business_media,-42.98726151602418
college_santa,-82.12455275525754
cuisine,-93.38709517677161
baba_s,-58.747491083096754
of_technology,-104.97471914297849
david,-91.25498688033903
great,-63.34075356226477
j,-77.16670496540672
private_heliport,-54.10146179492385
i_tie,-51.6752231321903
power,-90.20088861248611
rabbinical_college,-83.65945658530808
junior_college,-83.37852763408151
icon_link,-15.92604647889033
variety_media,-33.5581080173466
scientific,-108.26820664917739
with_a,-40.50017711432197
repair,-103.0560380672101
?,-63.49489715987648
video,-77.25990269909299
rock,-84.28626858584973
farm,-91.86982617841795
garden,-110.00454302004667
technologies,-105.85951531538223
florida,-77.91468530713118
google,-87.89462096449033
lenr_forum,-21.957109254686724
day,-97.65609152307158
pizza,-49.35313460159418
sir_ken,-48.64012381207429
saint_paul,-78.5120652619363
inc,-99.02675935534994
green,-78.10655765004203
hot_springs,-90.97231568335253
san_diego,-81.90045160369421
west,-74.34369520808073
is_pdf,-62.18371350958911
file_pdf,-71.02107134951166
behaviorist,-34.646296650629225
center,-78.11135926682441
time,-72.24676872194112
saint_louis,-80.94007555006432
san_joaquin,-82.44726402323512
farm_airport,-89.26525824487754
university_north,-71.00787705928597
gemini_pda,-76.67604301763004
a_canine,-39.16310300723608
new_mexico,-68.74426567628528
county_community,-85.95260504435062
trainer_nor,-32.92678262033364
not_a,-42.94514098537788
is_a,-52.57486346511284
repair_manual,-104.24948147183144
institute,-81.3863263828466
service_repair,-90.81652763744741
theatre,-106.63053328370223
lake,-76.05921989698425
mountain_view,-59.08978425311858
news,-53.86933416198608
pennsylvania_state,-93.11293457739414
thermo,-78.00839432129493
asparagus,-52.014652931917965
he,-76.9075011889389
dog,-56.23823364288896
recipes,-80.52325351731324
was,-57.3676320937219
business,-65.94345546853779
hardware,-86.14812221994096
tick_tick,-46.639122299615885
hill,-90.50059005719555
recipe,-80.60119147929667
saint_charles,-114.44552607399127
i_m,-45.639271293009536
chicken,-81.56317398200699
and_design,-62.00678804002734
from_the,-48.197197192431766
at_the,-64.9531074700389
light_body,-104.7511433319182
10,-45.68894551438367
sage,-75.68085827353035
cheese,-48.39020809053672
g,-80.85685392361187
music,-92.37338389230855
as_a,-64.37161995897681
corporation,-60.90920830188491
on_the,-55.40404589134653
more,-43.17791793439497
shirley,-92.5063389711476
school,-58.55297736735508
short,-56.01827226127175
as,-57.283371555874155
car,-61.39927775543063
how,-74.43078259424925
about,-53.53735226741824
service_manual,-78.52408720203917
snow,-105.08791311231172
one,-69.84124722873894
technical_community,-63.55173954784751
ohio_state,-55.33243511449161
green_papaya,-41.90189641636596
of_oriental,-63.3464347624909
sai_rama,-59.53977541196179
national,-80.77031665971735
college_northwestern,-72.54261613904474
ohio_university,-77.73184678756482
sai_maa,-61.40296183935434
walnut_ridge,-106.01062958953828
des_arc,-93.52280515089312
a_gps,-33.1425013038164
food,-76.36937453678922
violet_hill,-65.1882680476235
valley_springs,-95.42927506652782
la_grange,-84.65897660268664
