,word,interaction,vote,score
38,hippapottafrog,1,0,1
37,mr. fist bump,1,1,1
36,moldy tip,1,3,1
35,jj redneck,2,3,0
34,tose me,3,0,-1
33,flipcracker,4,0,0
32,dingly wert,5,0,1
31,branch weight,5,0,1
30,microballs,6,8,6
29,applethrower,7,0,3
28,nancy no-tits,8,18,4
27,hekma,10,0,4
26,chewgger,12,2,2
25,ice gook,13,3,11
24,robuttnik,14,3,8
23,njf,16,0,10
22,blanger,22,0,10
21,man bum thumper,22,3,-2
20,poputt,25,0,13
19,gewk,27,2,13
18,chundee,31,1,-15
17,slutbasket,34,7,16
16,kopitard,38,0,-20
15,gickna,53,0,31
14,fishcake,97,0,13
13,pstool,101,0,39
12,curtain twitcher,152,21,130
11,touch down,160,4,54
10,pepperbelly,221,0,55
9,cape,241,1,37
8,gunga,246,0,74
7,collar popper,255,5,69
6,schoolgirl,269,18,39
5,fbs (fat bitch syndrome),345,0,135
4,chit,578,4,174
3,oriental,2114,38,264
2,ass-hat,2530,43,1614
1,squid,3829,1,2399
0,g,11256,16,7058
